"pdfNumber","pdfQuestion","pdfAnswer"
"606","Según el Reglamento (CE) 561/2006, a efectos del cumplimiento de los tiempos de descanso semanal, ¿qué condición debe cumplirse, entre otras, para que se considere que un conductor se dedica al transporte internacional de mercancías?","Que inicie dos períodos de descanso semanal reducidos consecutivos fuera del Estado miembro de establecimiento del empresario y fuera de su lugar de residencia."
"607","Según el Reglamento (CE) 561/2006, a efectos del cumplimiento de los tiempos de descanso semanal, ¿qué condición debe cumplirse, entre otras, para que se considere que un conductor se dedica al transporte internacional de mercancías?","Que inicie dos períodos de descanso semanal reducidos consecutivos fuera del Estado miembro de establecimiento del empresario y fuera de su lugar de residencia."
"608","Según el Reglamento (CE) 561/2006, un conductor puede prolongar su conducción diaria hasta un máximo de 1 hora si:","es necesario para realizar el descanso semanal en su domicilio."
"609","Según el Reglamento (CE) 561/2006, un conductor puede prolongar su conducción semanal hasta un máximo de 1 hora si:","es necesario para realizar el descanso semanal en su domicilio."
"610","Según el Reglamento (CE) 561/2006, ¿cómo debe el empresario organizar el trabajo de los conductores?","De forma que, en cada período de cuatro semanas consecutivas, puedan realizar, al menos, un descanso semanal ordinario en su domicilio."
"611","Según el Reglamento (CE) 561/2006, el conductor que se dedique al transporte internacional de mercancías, ¿cómo puede realizar el descanso semanal?","Puede realizar dos descansos reducidos consecutivos con ciertas condiciones."
"612","Según el Reglamento (CE) 561/2006, ¿qué conductores pueden realizar dos descansos semanales reducidos consecutivos?","Los que se dediquen al transporte internacional de mercancías."
"613","Según el Reglamento (CE) 561/2006, ¿qué condición debe cumplirse, entre otras, para que un conductor pueda superar el máximo de conducción diaria establecido?","Que el exceso se realice para llegar al lugar de residencia del conductor o al centro de operaciones del empresario."
"614","Según el Reglamento (CE) 561/2006, ¿qué condición debe cumplirse, entre otras, para que un conductor pueda superar el máximo de conducción semanal establecido?","Que el exceso se realice para llegar al lugar de residencia del conductor o al centro de operaciones del empresario."
"617","¿Dónde debe tomar un conductor un descanso semanal de más de 45 horas que sea compensación de otros descansos previos reducidos?","En un alojamiento apropiado."
"618","¿Qué características debe reunir el alojamiento en el que un conductor tome el descanso semanal normal?","• Que tenga instalaciones para dormir. • Que tenga instalaciones sanitarias adecuadas. • Que esté adaptado para ambos sexos. • Todas las respuestas son correctas."
"619","¿Qué características debe reunir el alojamiento en el que un conductor tome un descanso semanal de más de 45 horas como compensación de descansos previos reducidos?","Que tenga instalaciones sanitarias adecuadas."
"620","¿Qué características debe reunir el alojamiento en el que un conductor tome el descanso semanal normal?","• Que tenga una calificación de dos estrellas o superior. • Que tenga instalaciones sanitarias adecuadas. • Las respuestas B y C son correctas."
"621","¿Quién debe asumir los gastos de alojamiento cuando el conductor tiene que realizar su descanso fuera del vehículo?","El empresario."
"622","Según la reglamentación social europea, los períodos de descanso semanal de un conductor que empiezan en una semana y terminan en la siguiente:","sólo se pueden computar en una de las semanas."
"623","Según la reglamentación social europea, ¿cuántas veces puede interrumpir su periodo de descanso semanal reducido, para llevar a cabo otras actividades, un conductor que acompaña a un vehículo en un transbordador?","Dos veces, sin exceder en total una hora."
"624","Según la reglamentación social europea, un conductor que acompaña a un vehículo en un transbordador y tiene acceso a una cabina para dormir, ¿puede interrumpir su periodo de descanso semanal normal para llevar a cabo otras actividades?","Sí, cuando la duración prevista del viaje sea de ocho horas o más."
"625","Según la reglamentación social europea, un conductor que acompaña a un vehículo en un transbordador, ¿puede interrumpir su periodo de descanso semanal normal para llevar a cabo otras actividades?","Sí, pero se deben cumplir las dos condiciones señaladas en las respuestas B y C."
"627","Los cursos de formación continua necesarios para renovar la tarjeta de","cualificación de conductor (CAP) deben incluir: • clases presenciales. • formación práctica. • Las respuestas A y B son correctas."
"628","¿Los cursos de formación continua necesarios para renovar la tarjeta de cualificación de conductor (CAP) deben incluir formación impartida mediante vehículos?","No es obligatorio."
"629","Los conductores que hayan dejado de ejercer la profesión y ya no dispongan de una tarjeta de cualificación CAP en vigor, antes de reanudarla:","deben seguir un curso de formación continua."
"630","¿En qué condiciones deben efectuar la formación continua los conductores que realicen simultáneamente transporte de viajeros en autocar y transporte de mercancías con vehículos cuya conducción requiere estar en posesión del certificado de aptitud profesional (CAP)?","Basta con que realicen un curso para una de las dos categorías de permisos."
"631","Las empresas autorizadas para impartir cursos destinados a obtener el","certificado de aptitud profesional de conductores se denominan: Empresas CAP."
"632","¿Qué debe hacer una empresa que está autorizada para impartir cursos CAP si desea impartirlos también en un segundo centro, ubicado en una Comunidad Autónoma distinta a la que le otorgó la autorización?","Comunicar la apertura de una sucursal a la Comunidad Autónoma donde se ubica el segundo centro."
"633","¿Qué debe hacer una empresa que está autorizada para impartir cursos CAP si desea impartirlos también mediante un aula móvil?","Comunicar la utilización del aula móvil."
"634","¿Qué tipo de control de una empresa CAP debe realizar la Administración que la autorizó?","Deberá comprobar periódicamente que la empresa sigue cumpliendo las condiciones exigidas para el otorgamiento de la autorización."
"635","¿Con qué periodicidad se debe llevar a cabo el control de las empresas CAP por parte de la Administración que las autorizó?","Al menos, cada cinco años."
"636","¿Qué tipo de control debe realizar la Administración respecto de las sucursales de una empresa CAP?","Deberá comprobar periódicamente que las sucursales siguen cumpliendo las condiciones exigidas para su funcionamiento."
"637","¿Qué tipo de control debe realizar la Administración respecto de las aulas móviles utilizadas por una empresa CAP?","Deberá comprobar periódicamente que las aulas móviles siguen cumpliendo las condiciones exigidas para su funcionamiento."
"638","¿Con qué periodicidad se debe llevar a cabo por parte de la Administración el control de las sucursales de una empresa CAP?","Al menos, cada cinco años."
"639","¿Con qué periodicidad se debe llevar a cabo por la Administración el control de las aulas móviles que utiliza una empresa CAP?","Al menos, cada cinco años."
"640","¿Qué periodo de vigencia tiene la homologación que la Administración debe otorgar a los cursos de formación CAP para poder ser impartidos?","Indefinida, en tanto no se modifique el contenido o características del curso."
"641","¿Deben las empresas CAP efectuar algún trámite respecto de los cursos que se proponen impartir?","Sí, deben homologarlos previamente en todo caso."
"642","¿Qué validez tiene la homologación que la Administración debe otorgar a los cursos de formación CAP para poder ser impartidos?","Habilita para impartir dichos cursos en todos sus centros, incluidas sucursales y aulas móviles."
"643","¿Qué efectos tiene la falta de resolución de una solicitud de autorización como empresa CAP, una vez transcurridos tres meses de la misma?","La solicitud se puede entender desestimada por silencio administrativo."
"644","¿Qué plazo debe transcurrir desde la solicitud de autorización como empresa CAP para que la misma se pueda entender desestimada por silencio administrativo?","Tres meses."
"645","¿Deben las empresas CAP efectuar algún trámite respecto de cada curso que vayan a impartir?","Sí, deben comunicar su realización a la Administración competente."
"646","¿A qué Administración se debe comunicar la realización de un curso que se va a impartir en una sucursal ubicada en una Comunidad Autónoma distinta de la que otorgó la autorización de empresa CAP?","A la Administración competente en el lugar donde se ubica la sucursal."
"647","¿A qué Administración se debe comunicar la realización de un curso que se va a impartir, mediante aula móvil, en una Comunidad Autónoma distinta de la que otorgó la autorización de empresa CAP?","A la Administración competente en el lugar donde se imparta el curso."
"648","Una vez finalizado un curso CAP, la empresa que lo imparte debe:","expedir un certificado acreditativo de haber efectuado la formación a cada alumno que lo haya seguido con aprovechamiento."
"649","Una vez finalizado un curso CAP, la empresa que lo imparte debe comunicar a la Administración competente:","el listado de alumnos que lo han superado."
"651","¿Qué conductores deben realizar la formación continua CAP en España?","• Los que tengan residencia habitual en España. • Los que trabajen en España. • Las respuestas A y B son correctas."
"652","Los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con:","transporte de mercancías peligrosas."
"653","Los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con:","transporte de animales."
"655","¿En qué condiciones los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con transporte de mercancías peligrosas?","Sólo si la formación sobre transporte de mercancías peligrosas se ha recibido en los doce meses anteriores al inicio del curso CAP."
"656","¿En qué condiciones los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con transporte de animales?","Sólo si la formación sobre transporte de animales se ha recibido en los doce meses anteriores al inicio del curso CAP."
"657","¿En qué condiciones los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con sensibilización sobre los derechos de los viajeros con discapacidad?","Sólo si la formación sobre sensibilización se ha recibido en los doce meses anteriores al inicio del curso CAP."
"658","¿Los alumnos que realicen un curso de formación continua CAP pueden contabilizar como parte de dicha formación la realizada en relación con el transporte de mercancías peligrosas?","Sí, cuando la formación sobre transporte de mercancías peligrosas se haya recibido en los doce meses anteriores al inicio del curso CAP."
"659","Los alumnos que realicen un curso de formación continua CAP podrán contabilizar como parte de dicha formación la realizada en relación con:","sensibilización sobre los derechos de los viajeros con discapacidad."
"660","Los alumnos que realicen un curso de formación continua CAP podrán","contabilizar como parte de dicha formación la realizada en relación con: • transporte de animales. • transporte de mercancías peligrosas. • Las respuestas A y B son correctas."
"661","¿Se pueden recuperar puntos del permiso de conducir que se hayan perdido, si se cursa la formación CAP?","Sí, pero se requiere superar la formación sobre sensibilización y educación vial contenida en el programa de los cursos."
"662","¿Se pueden recuperar puntos del permiso de conducir que se hayan perdido, si se cursa la formación CAP?","• Sí, cuando el curso reúna los requisitos exigidos por la legislación sobre tráfico. • Sí, pero se requiere superar la formación sobre sensibilización y educación vial contenida en el programa de los cursos. • Sí, cuando se cumplan las condiciones indicadas en las letras A y B."
"663","¿Se pueden recuperar puntos del permiso de conducir que se hayan perdido, si se cursa la formación CAP?","Sí, pero se requiere que el permiso esté todavía vigente."
"664","¿Cuántos puntos del permiso de conducir que se hayan perdido se pueden recuperar, como maximo, si se cursa la formación CAP incluyendo determinados contenidos?","Seis."
"665","¿Cuántos puntos del permiso de conducir que se hayan perdido se pueden recuperar, si se realiza un curso de cualificación inicial de conductores (CAP) incluyendo determinados contenidos?","Un máximo de seis."
"666","¿Cuántos puntos del permiso de conducir que se hayan perdido se pueden recuperar, si se realiza un curso de formación continua CAP incluyendo determinados contenidos?","Un máximo de seis."
"667","Cuando en la inspección de un curso CAP se compruebe que el profesor no coincide con el que ha sido comunicado:","se suspenderá la autorización de la empresa durante seis meses."
"668","Cuando en la inspección de un curso CAP se compruebe que la materia impartida no coincide con la que ha sido comunicada:","se suspenderá la autorización de la empresa durante seis meses."
"669","Cuando en la inspección de un curso CAP se detecte la falta de asistencia injustificada de un 50 por 100 o más de los alumnos:","se suspenderá la autorización de la empresa durante doce meses."
"670","La autorización de una empresa CAP se suspenderá durante seis meses:","• cuando en la inspección de un curso se detecte la falta de asistencia injustificada de un 25 por 100 o más de los alumnos sin alcanzar un 50 por 100. • cuando en la inspección de un curso CAP se compruebe que la materia impartida no coincide con la que ha sido comunicada. • Las respuestas B y C son correctas."
"671","Un alumno de un curso CAP será excluido del mismo cuando deje de asistir a:","un 5 por 100, o más, de las horas del curso."
"672","Un alumno de un curso CAP será excluido del mismo cuando deje de asistir a:","un 5 por 100, o más, de las horas del curso, ya sea de formación presencial o práctica."
"673","Cuando, después de realizar un curso de formación continua CAP, se expida al conductor una nueva tarjeta de cualificación en sustitución de la anterior, ¿desde qué fecha se computará su vigencia?","• Desde la fecha de caducidad de la anterior. • Desde la fecha de superación del curso, si éste no se ha realizado dentro de los doce meses inmediatamente anteriores a la fecha de caducidad de la tarjeta. • Las respuestas A y C son correctas."
"674","Los alumnos que realicen un curso para la obtención de la cualificación inicial de conductores podrán contabilizar como parte de dicha formación la realizada en relación con:","sensibilización sobre los derechos de los viajeros con discapacidad."
"676","El transporte privado complementario efectuado en un radio de 100 kilómetros alrededor del centro de operaciones de la empresa, siempre que la conducción no constituya la actividad principal del conductor, está exento de tacógrafo:","si se transporta maquinaria de construcción para una empresa de construcción."
"677","El transporte de viajeros en autocar desarrollado íntegramente en la ciudad autónoma de Melilla:","está exento de usar tacógrafo en todo caso."
"678","¿Qué transporte está exento de usar tacógrafo cuando transcurre en un radio de 100 kilómetros alrededor del centro de explotación de la empresa titular del vehículo?","El de hormigón preamasado, si se realiza en vehículos especialmente fabricados al efecto."
"679","¿Qué condición debe cumplir el transporte de hormigón preamasado, realizado en vehículos especialmente fabricados al efecto, para estar exento de tacógrafo?","Que se desarrolle íntegramente en un radio no superior a 100 kilómetros alrededor del centro de explotación de la empresa titular o arrendataria del vehículo."
"680","¿Qué condición debe cumplir el transporte de hormigón preamasado para estar exento de tacógrafo?","• Que se efectúe en vehículos especialmente fabricados al efecto. • Que se desarrolle íntegramente en un radio no superior a 100 kilómetros alrededor del centro de explotación de la empresa titular o arrendataria del vehículo. • Las respuestas A y C son correctas."
"681","¿Puede un Estado de la Unión Europea imponer una sanción por superar el tiempo máximo de conducción diaria cuando la infracción haya sido cometida en territorio de otro Estado?","Sí, siempre que la infracción se haya descubierto en su territorio y no haya sido sancionada todavía."
"682","¿Puede una autoridad española imponer una sanción por no respetar el tiempo mínimo de descanso semanal cuando la infracción haya sido cometida en territorio de otro Estado no perteneciente a la Unión?","Sí, siempre que la infracción se haya descubierto en su territorio y no haya sido sancionada todavía."
"683","¿A quién se imputará la infracción consistente en uso indebido del tacógrafo por un conductor, que a su vez represente una falta muy grave de indisciplina respecto de las instrucciones recibidas de la empresa, si el conductor no es objeto de sanción disciplinaria por la misma?","A la empresa transportista."
"684","¿A quién se imputará la infracción por superar el tiempo máximo de conducción diaria, que a su vez represente una falta muy grave de indisciplina del conductor respecto de las instrucciones recibidas de la empresa, si este es objeto de una sanción disciplinaria por la misma consistente en postergación para ascensos en la empresa?","A la empresa."
"685","¿A quién se imputará la infracción por no respetar el tiempo de descanso semanal, que a su vez represente una falta muy grave de indisciplina del conductor respecto de las instrucciones recibidas de la empresa, si este es objeto de una sanción disciplinaria por la misma consistente en quedar inhabilitado para ascensos en la empresa?","A la empresa."
"686","¿A quién se imputará la infracción por no respetar el tiempo de descanso diario, que a su vez represente una falta muy grave de indisciplina del conductor respecto de las instrucciones recibidas de la empresa, si este es objeto de una sanción disciplinaria por la misma consistente en suspensión de empleo y sueldo y no la recurre judicialmente?","Al conductor. Objetivo 3.1: Tener conciencia de los riesgos de la carretera y los accidentes de trabajo."
"6","¿Qué posición corresponde a la ocupación de conductor de transporte urbano y por carretera, respecto del conjunto de ocupaciones profesionales, por razón del número de accidentes mortales sufridos?","Primera."
"25","Las estadísticas muestran que, con relación a la situación de hace 30 años, en España el número de muertos en accidente de tráfico:","ha disminuido considerablemente."
"28","Los conductores profesionales, por su carga de trabajo, son propensos a sufrir:","enfermedades cardiovasculares."
"29","Los gastos que un accidente de tráfico implica para los afectados con lesiones","están relacionados con: • ayudas técnicas. • ayudas de tercera persona. • tratamientos físicos y psicológicos. • Todas las respuestas anteriores son correctas."
"36","¿Qué posición corresponde al transporte terrestre y por tubería en número de accidentes mortales sufridos en el conjunto de actividades económicas?","La primera."
"38","Señale el medio de transporte con una siniestralidad más baja:","Autobús."
"39","En las estadísticas de accidentes de trabajo se observa que la incidencia y gravedad de los accidentes en el sector del transporte es:","superior a la media del total de actividades."
"44","Entre las siguientes afirmaciones referidas a los conductores profesionales,","señale la que considere incorrecta: Tienen un grado de siniestralidad muy alto como consecuencia de su poca experiencia."
"45","Señale las enfermedades que son consideradas enfermedades profesionales de","la rama del transporte terrestre: • Sordera provocada por el ruido. • Lesiones de la piel provocadas por contacto con hidrocarburos. • Parálisis del nervio radial por comprensión del mismo provocada por posturas forzadas. • Todas las respuestas anteriores son correctas."
"55","¿Son los factores psíquicos elementos coadyuvantes de los accidentes de trabajo en el transporte?","Sí, porque la conducción profesional es dada a la aparición de fatiga y estrés."
"64","¿Cuál de los siguientes riesgos para la salud no está asociado a la actividad de transporte?","Úlcera de duodeno."
"71","En comparación con el resto de vehículos, ¿qué nivel de gravedad alcanzan los accidentes de tráfico en los que intervienen autobuses o vehículos pesados de transporte de mercancías?","Es mayor."
"75","¿Cuál de las siguientes medidas de prevención de riesgos laborales es obligación del empresario?","Formar e informar."
"76","¿Cuál de las siguientes medidas de prevención de riesgos laborales es obligación del trabajador?","Respetar los métodos de trabajo."
"77","¿Cuál de las siguientes medidas de prevención de riesgos laborales es obligación del trabajador?","Utilizar los equipos de protección."
"83","¿El número de accidentes mortales en el sector del transporte terrestre y por tubería es inferior al de algún otro sector de actividad?","No, es superior al de los restantes sectores de actividad."
"88","¿Cuál de los siguientes accidentes de trabajo relacionados con el transporte es más frecuente?","Caídas de personas al mismo nivel (en la misma superficie en la que se encuentra)."
"90","¿Cuál de los siguientes accidentes de trabajo se produce más frecuentemente en la actividad de transporte?","Golpes con herramientas y otros objetos."
"91","¿Qué accidente de trabajo es más frecuente en el sector del transporte?","Sobreesfuerzos."
"95","¿Cuál de los siguientes accidentes de trabajo relacionados con el transporte es menos frecuente?","Incendios."
"96","¿Qué accidente de trabajo es menos frecuente en el sector del transporte?","Descargas eléctricas."
"97","¿Qué lesión, causada por el mantenimiento incorrecto de los sistemas de amortiguación, es la más frecuente en la actividad de transporte?","Daños en la columna vertebral."
"98","En la actividad de transporte, ¿cuál de las siguientes lesiones está asociada al deterioro de la cabina o del asiento del vehículo?","Hernias discales."
"99","En la actividad de transporte, ¿qué lesión está más frecuentemente causada por el uso de maquinaria inadecuada a las características del lugar de trabajo?","Heridas internas."
"100","En la actividad de transporte, ¿qué lesión está más frecuentemente causada por el manejo imprudente o inexperto de la maquinaria?","Fractura de huesos y traumatismos."
"101","En la actividad de transporte, ¿qué lesión, causada por el mantenimiento prolongado de posturas forzadas, es la más frecuente?","Lumbalgias, cervicalgias y todo tipo de molestias en la espalda."
"102","En la actividad de transporte, ¿cuál de las siguientes lesiones está asociada al levantamiento de pesos excesivos?","Problemas de circulación sanguínea."
"103","En la actividad de transporte, ¿qué lesión, causada por la falta de barandillas en las plataformas superiores de almacenes y muelles de carga, es más frecuente?","Fracturas de huesos."
"104","En la actividad de transporte, ¿qué lesión, causada por el calentamiento del motor, es más frecuente?","Quemaduras, asfixia."
"105","En la actividad de transporte, ¿qué lesión, causada por el mal estado de las escaleras, es la más frecuente?","Desgarros musculares."
"107","En la actividad de transporte, ¿qué lesión, causada por la limpieza de cisternas o de la caja del vehículo en condiciones inadecuadas, sobre todo si han contenido mercancías peligrosas, es la más frecuente?","Lesiones en la piel, lesiones oculares."
"108","En la actividad de transporte, ¿qué lesión, causada por conexiones inadecuadas, es la más frecuente?","Quemaduras."
"109","En la actividad de transporte, ¿qué mala práctica es la que causa con más frecuencia el desprendimiento de retina?","Firme deficiente de las carreteras."
"110","En la actividad de transporte, ¿qué circunstancia es la que normalmente causa las hernias discales?","Posturas de trabajo incorrectas."
"111","En la actividad de transporte, ¿qué mala práctica está asociada más directamente a quemaduras y asfixia?","Calentamiento del motor."
"112","En la actividad de transporte, ¿qué circunstancia causa paradas cardíacas y la muerte con más frecuencia?","Contacto de la carga del vehículo con tendidos eléctricos."
"113","En la actividad de transporte, ¿qué circunstancia causa accidentes por desgarros musculares con más frecuencia?","Escaleras en mal estado."
"114","En la actividad de transporte, ¿qué mala práctica causa lesiones en la piel y en los ojos con más frecuencia?","Derrame de mercancía peligrosa a causa de accidentes de tráfico."
"115","En la actividad de transporte, ¿cuál es una de las causas más frecuentes de artrosis del codo?","Posturas inadecuadas durante la conducción."
"116","En la actividad de transporte, ¿qué mala práctica está asociada directamente con accidentes mortales?","Fugas de combustible."
"117","En la actividad de transporte, ¿qué circunstancia causa con mayor frecuencia lumbalgias y cervicalgias?","Mantenimiento prolongado de posturas forzadas."
"118","En la actividad de transporte, ¿qué circunstancia causa problemas de circulación sanguínea con mayor frecuencia?","Levantamiento de pesos excesivos."
"119","En la actividad de transporte, ¿qué mala práctica causa quemaduras con mayor frecuencia?","Cables y enchufes defectuosos."
"120","En la actividad de transporte, ¿qué circunstancias causan esguinces graves normalmente?","Desniveles en los suelos."
"121","En la actividad de transporte, ¿qué mala práctica está asociada directamente con lesiones oculares?","Limpieza de cisternas o de la caja del vehículo en condiciones inadecuadas, sobre todo si han contenido mercancías peligrosas."
"122","En la actividad de transporte, ¿qué circunstancia causa daños en la columna vertebral con mayor frecuencia?","Mantenimiento incorrecto de los sistemas de amortiguación."
"123","En la actividad de transporte, ¿qué circunstancia causa accidentes mortales con mayor frecuencia?","Abandono del vehículo sin asegurar su inmovilización."
"135","De las siguientes enfermedades, señale la que no es reconocida como","enfermedad profesional en el sector del transporte: Pancreatitis ocasionada por las malas posturas."
"136","De las siguientes enfermedades, señale la que no está reconocida como","enfermedad profesional en el sector del transporte: Dolor de cabeza ocasionado por el ruido del motor."
"138","¿Cuál de las enfermedades que se enumeran a continuación no está reconocida como enfermedad profesional en el sector del transporte?","Dolor estomacal crónico."
"139","De las siguientes enfermedades, señale cuál no es reconocida como","enfermedad profesional en el sector del transporte: Inflamación de la vesícula."
"140","De las siguientes enfermedades, señale cuál no está reconocida como","enfermedad profesional en el sector del transporte: Enfermedades osteoarticulares por vibraciones mecánicas."
"145","De los siguientes vehículos, ¿cuál registra menos muertos entre sus ocupantes en accidente de tráfico?","El camión de más de 3.500 kg."
"150","¿Cuál es el componente principal de la siniestralidad entre conductores profesionales?","Los accidentes de tráfico."
"152","¿Qué tipo de lesiones se derivan de una exposición continua a vibraciones?","Hernias."
"153","¿Qué circunstancia propicia los atropellos por vehículos y maquinaria auxiliar?","Invasión de zonas de trabajo restringido."
"158","¿Cuáles son los accidentes de trabajo que producen bajas laborales con una duración más larga?","Los accidentes con forma no traumática."
"160","¿Cuáles suelen ser accidentes que afectan con frecuencia a los trabajadores de empresas de transporte?","• Atropellos por vehículos y maquinaria auxiliar. • Golpes de herramientas y otros objetos. • Exposición a vibraciones continuas. • Todas las respuestas anteriores son correctas."
"164","En la actividad de transporte, ¿qué factor de los siguientes no está relacionado con la aparición de fatiga?","Reducción de jornadas."
"165","¿Qué factor de los siguientes es causa de estrés entre los conductores profesionales?","• Aislamiento social, sobre todo en el caso de los transportes internacionales de larga duración. • Riesgo económico personal si se trata de un transportista autónomo. • Prolongación de jornadas. • Todas las respuestas anteriores son correctas."
"167","De las siguientes opciones, ¿cuál no es una enfermedad profesional reconocida en el sector del transporte terrestre?","Asfixia."
"169","¿Cuál es un coste de tipo directo que provocan los accidentes de tráfico?","• Daños a la propiedad. • Gastos médicos. • Gastos administrativos. • Todas las respuestas son correctas."
"178","Las estadísticas sobre accidentes de tráfico indican que, con relación a la situación de hace 30 años, el número de accidentes:","disminuye tanto en zonas urbanas como interurbanas."
"179","¿Qué índice hace referencia al número de fallecidos respecto del número de kilómetros recorridos?","Índice de mortalidad."
"180","¿Qué índice hace referencia a la comparación entre el número de accidentes con víctimas y el número de kilómetros recorridos?","Índice de peligrosidad."
"181","¿Qué índice hace referencia a la comparación entre el número de fallecidos y el número de accidentes?","Índice de gravedad."
"182","¿Qué porcentaje del producto nacional bruto se considera que representan los costes de los accidentes de tráfico en países de rentas elevadas como los de la Unión Europea?","El 2 %."
"186","Los gastos que un accidente de tráfico con lesiones conlleva para la economía","de los afectados tienen que ver con: • ayudas técnicas. • ayudas de terceras personas. • tratamientos físicos y psicológicos. • Todas las respuestas anteriores son correctas."
"187","¿Cuáles son los tipos de ayuda que puede necesitar un herido en accidente de tráfico, dirigidas a facilitarle el desarrollo de las actividades diarias?","• Técnicas. • De terceras personas. • Tratamientos físicos. • Todas las respuestas son correctas."
"191","¿A qué circunstancias, con repercusiones negativas sobre su salud, se encuentra sometido el conductor profesional?","• A la necesidad de cumplir unos horarios preestablecidos. • A la necesidad de mantenerse sentado mucho tiempo. • Las respuestas A y C son correctas."
"195","¿Cuál es el accidente laboral más frecuente que se suele producir en la actividad de transporte como consecuencia de unas escaleras en mal estado?","Caídas de personas a distinto nivel."
"196","¿Cuál es el accidente laboral más frecuente que se suele producir en la actividad de transporte como consecuencia de la existencia de placas de hielo en cámaras y cajas frigoríficas?","Caídas de personas al mismo nivel."
"198","¿Cuál es el accidente laboral más frecuente que se suele producir en la actividad de transporte como consecuencia de un mantenimiento incorrecto de los sistemas de amortiguación del vehículo?","continuada a vibraciones."
"200","¿Cuál es el accidente más frecuente que se suele producir en la actividad de transporte como consecuencia del levantamiento de pesos excesivos?","Sobreesfuerzos."
"203","¿Qué circunstancia nos podrá producir con más probabilidad una artrosis en el codo?","Exposición continua a vibraciones."
"204","¿Qué circunstancia nos podrá producir con más probabilidad una hernia discal?","Sobreesfuerzos."
"205","¿Qué circunstancia nos podrá producir con más probabilidad una parada cardiaca?","Descargas eléctricas."
"207","¿Cuáles son los accidentes laborales que, con más frecuencia, tienen consecuencias mortales en la actividad de transporte?","Los atropellos y las caídas de personas a distinto nivel."
"208","¿Cuáles son los accidentes laborales que, con más frecuencia, tienen consecuencias no mortales en la actividad de transporte?","Sobreesfuerzos."
"209","En los accidentes laborales en la actividad de transporte:","suelen confluir varias causas."
"212","¿Qué tiene que ocurrir para que una dolencia sea considerada enfermedad profesional?","Tiene que estar expresamente reconocida como tal por las autoridades sanitarias."
"215","Entre las siguientes clases de vehículos, ¿cuáles intervienen en más accidentes de tráfico?","Furgonetas."
"216","¿Qué clase de vehículos dedicados al transporte terrestre participa en menos accidentes de tráfico?","Autobuses de transporte escolar."
"223","¿Cuál es el tipo de accidente de tráfico mortal más frecuente?","La salida de la calzada."
"225","Para prevenir enfermedades cardiovasculares en personas a las que su trabajo obliga a pasar muchas horas al día sentado, es muy recomendable:","realizar ejercicio físico habitualmente."
"235","Entre los accidentes sin víctimas mortales, ¿qué tipo es el más habitual en la actividad de transporte?","Sobreesfuerzos."
"240","En la elaboración de las estadísticas de accidentes de tráfico, si no hay colisión,","se considera como implicado un vehículo si se produce alguna de las siguientes circunstancias. Ha estado parado en forma peligrosa, de modo que ha constituido uno de los factores del accidente."
"241","El coste económico anual de los accidentes de tráfico se valora para los países","de ingresos altos, como los de la Unión Europea, en una cifra alrededor del: 2 % del PIB."
"243","La tetraplejia consiste en:","la pérdida de las funciones motoras en todas las extremidades y el tronco."
"244","La paraplejia consiste en:","la pérdida de capacidad de las extremidades inferiores."
"246","Por lo que se refiere a los afectados, los gastos que deben afrontar a raíz de un accidente con lesiones no se dirigen a:","publicaciones de ayudas."
"247","¿Cuál de las siguientes es la causa menos probable de accidente de trabajo por incendio del vehículo?","Mala colocación de la carga."
"248","¿Qué porcentaje de muertes producidas en España por accidente de trabajo en jornada es debida a un accidente con forma no traumática?","Del 36 al 45 %."
"249","En lo que se refiere a accidentes mortales, el sector del transporte:","es la rama de actividad económica con mayor número de casos."
"250","El número de accidentes de trabajo mortales de los conductores profesionales:","no es superado por ninguna otra ocupación."
"251","De las siguientes ocupaciones, señale la que padece mayor número de","accidentes con forma no traumática. Los conductores de transporte urbano y por carretera."
"252","¿Cuál no es un accidente laboral propio de los trabajadores del sector del transporte?","Accidente de tráfico conduciendo un vehículo particular."
"253","¿Qué clase de vehículo, entre los siguientes, interviene en menos accidentes de tráfico?","Autobuses de línea regular."
"254","La siniestralidad de los vehículos pesados, medida en vehículos-kilómetro, es:","menor que la del total de vehículos."
"255","De los siguientes medios de transporte por carretera, ¿cuál es el que se ve involucrado en menor número de accidentes?","El autobús escolar."
"257","¿Qué característica suele ir asociada al trabajo de los conductores profesionales?","• El sedentarismo. • La carga de trabajo. • El estrés. • Todas las respuestas anteriores son correctas."
"258","¿Qué requerimientos suelen ir asociados a la conducción profesional?","Ritmos de trabajo elevados."
"259","¿Cuáles de las siguientes lesiones son más frecuentes entre los conductores profesionales?","Molestias en la espalda."
"260","¿Cuál de las siguientes es la lesión menos habitual en los conductores profesionales?","Molestias en las rodillas."
"261","¿Qué factores favorecen la aparición de enfermedades cardiovasculares en los conductores profesionales?","• La vida sedentaria. • El estrés. • Las respuestas A y B son correctas."
